"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J202";"DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"DB25_Female";;;
2;"J201";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm";1;"DB9_Female";;;
3;"R211,R203,R205,R207,R209,R210,R212,R213,R215,R216,R217,R218,R219,R220,R221,R222,R223,R224";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";18;"1K";;;
4;"C232,C231,C229,C228,C227,C204,C203,C202,C201,C230,C233";"C_Disc_D3.8mm_W2.6mm_P2.50mm";11;"1.0uF";;;
5;"U301";"PQFP112";1;"MC9S12XEP100";;;
6;"U205";"DIP-16_W7.62mm";1;"MAX232EEPE+";;;
7;"C303,C310,C304";"C_Disc_D5.0mm_W2.5mm_P2.50mm";3;".22uF";;;
8;"C307,C309,C306";"CP_Radial_Tantal_D4.5mm_P2.50mm";3;".1uF";;;
9;"Y301";"Crystal_HC49-4H_Vertical";1;"16mHz";;;
10;"U204,U203,U202";"DIP-6_W7.62mm";3;"4N25";;;
11;"U201";"DIP-8_W7.62mm";1;"MPXA6115AC7U";;;
12;"R304,R303";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"475R";;;
13;"R302,R301,R214";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10K";;;
14;"R225,R226,R227";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"200R";;;
15;"R204,R206,R208";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"6.98K";;;
16;"R202";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"49.9K";;;
17;"R201";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"51.1K";;;
18;"Q203,Q202,Q201";"TO-92-3";3;"ZTX450";;;
19;"J302";"PinSocket_2x18_P2.54mm_Vertical";1;"Conn_02x18_Odd_Even";;;
20;"J301";"Molex-Microfit3-Dual4-90";1;"Molex+Microfit3-Dual4-90";;;
21;"C312,C311";"CP_Radial_D8.0mm_P5.00mm";2;"100uF";;;
22;"C308,C305";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;".1uF";;;
23;"C302,C301";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"20pF";;;
24;"C218";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.1uF";;;
25;"C217";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"47pF";;;
26;"C212,C211,C210,C209,C213,C214,C216,C223,C224,C225,C226";"C_Disc_D3.8mm_W2.6mm_P2.50mm";11;"0.001uF";;;
27;"C205,C206,C207,C208,C219,C220,C221,C222";"C_Disc_D5.0mm_W2.5mm_P2.50mm";8;"0.22uF";;;
28;"R228";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1Meg";;;
